smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
O=C(CCN1CCCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.073673073576872,0.0402885418374479,0.5628384307878745,470.3710000000001,4.1868000000000025,79.38,2,6,0.0,9.31480374713336,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.313859947685312,0.5517540108550381,9.57171395514685,-0.2401868741084403,0.011084419932836487,-0.2569102080134904
NC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.047488927100469,0.0181268103259208,0.5253198346334698,401.2680000000001,3.2083000000000004,105.82,3,6,0.0,9.292022034091284,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.347422264803685,0.5170252665618643,9.583455041718128,-0.29993333770321584,0.008294568071605446,-0.29143300762684454
C=CC(=N)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.99878734735417,0.0541574422750781,0.5914466494556185,291.358,2.997790000000001,72.63,3,4,0.0,9.2403532298069,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.148910562934578,0.8407986245812334,9.539862393436406,-0.15012321558040753,-0.2493519751256149,-0.29950916362950686
C=CC(=N)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.07560247092036,0.045097480850844,0.5775653740995258,292.346,2.4698900000000004,84.99000000000001,3,5,0.0,9.319287677119275,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.225868842634966,0.8182257163781242,9.623413495652406,-0.150266371714606,-0.24066034227859845,-0.30412581853313014
CON(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.055932831204077,0.0280035223933861,0.4583870012921185,441.8940000000002,4.104400000000003,70.58999999999999,1,6,0.0,9.257122809456751,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.6214205553234822,9.58041020053087,-0.2585259752607616,-0.16303355403136366,-0.3232873910741194
NC(=O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.019329146944694,0.027690762114273,0.5253198346334697,401.26800000000014,3.2083000000000004,105.82,3,6,0.0,9.254298302147156,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.35150962487041,0.5170252665618642,9.598318997691685,-0.33218047792571603,0.008294568071605446,-0.3440206955445291
C=CC(=O)NOC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.880096230192246,0.0391039156184815,0.6625904344954205,308.34100000000007,2.47872,75.08,2,5,0.0,9.172287531821476,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.148910562934578,0.8407986245812334,9.539862393436406,-0.26881433274233224,-0.1782081900858129,-0.3675748616149299
CN(COCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.861332550566912,0.0263906533833366,0.6265265096325219,390.241,2.891000000000001,83.4,2,7,0.0,9.148205151999838,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.187915453581798,0.7154897998540194,9.52460038627166,-0.32658290301488613,-0.08896329022149752,-0.376395234271822
CN(C)OC/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.001658061623383,0.0343818534639135,0.4583870012921185,441.8940000000002,4.104400000000003,70.58999999999999,1,6,0.0,9.196469708805528,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.6214205553234822,9.58041020053087,-0.31280074484145537,-0.16303355403136366,-0.38394049172534217
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/OCCN1CCOCC1,9.07531011458492,0.028170066132188,0.2726510543318792,497.9580000000004,3.852100000000002,89.47000000000001,1,7,0.0,9.183465575618673,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.3068429120739786,-0.2112764723511545,-0.41272753406759577
