smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_uncertainty,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
NCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.44385089515634,0.0282569280736615,0.6492450710868106,359.23100000000005,2.9015000000000004,88.75,3,6,0.0,8.740216502626083,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.3692884724959,0.0321953526069766,0.6490621421214131,9.661624190949633,-0.9254375773395598,0.0001829289653975108,-0.9214076883235496
O=C(O)CCCCc1c(Br)cccc1Nc1ncnc2ccncc12,8.451376168817498,0.062402556081948,0.5733707186352276,401.2640000000001,4.328300000000002,88.0,2,5,0.0,8.675658972053165,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.35150962487041,0.0117032604596588,0.5170252665618642,9.598318997691685,-0.9001334560529113,0.05634545207336339,-0.9226600256385193
CCc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.182931847419463,0.0151571128469353,0.7861342877006197,329.201,4.093300000000003,50.7,1,4,0.0,8.560841878422837,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.150625171571486,0.0142019388879788,0.7686164717854101,9.520731468576212,-0.9676933241520231,0.01751781591520951,-0.9598895901533755
NN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.310131923347763,0.044868772360352,0.4643784811848989,375.23,2.2033,100.19,3,7,0.0,8.49745239157986,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.187915453581798,0.0210599672371468,0.7154897998540194,9.52460038627166,-0.8777835302340353,-0.2511113186691205,-1.0271479946918003
Nc1c(NC(=O)CCN2CCCCC2)ccc2ncnc(Nc3cccc(Br)c3)c12,8.325721154185322,0.0409657942898186,0.4593354719806407,469.38700000000006,4.532600000000003,96.17,3,6,0.0,8.514423095885824,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.313859947685312,0.0180229979659819,0.5517540108550381,9.57171395514685,-0.9881387934999903,-0.09241853887439738,-1.057290859261025
NNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.171532797528597,0.0156576919519203,0.5051540079268191,331.177,2.8165000000000004,88.75,3,6,0.0,8.408452109540086,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.150625171571486,0.0142019388879788,0.7686164717854101,9.520731468576212,-0.9790923740428887,-0.26346246385859107,-1.1122793590361262
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(F)c1,8.200953137336544,0.0691766249061752,0.6520229377098611,409.4400000000001,3.658500000000002,61.36000000000001,1,5,0.0,8.4577879812853,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.0447588835957084,0.6214205553234822,9.58041020053087,-1.113505669128294,0.030602382386378912,-1.1226222192455708
O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Br)c4F)c3c2)nn1)NO,8.914953125057506,0.045643948550122,0.1508482696828612,528.3860000000002,4.989400000000003,117.85,3,7,0.5,8.444733311348815,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.52034512371626,0.0212573920710242,0.1669812919703811,9.582578377630426,-0.605391998658753,-0.01613302228751992,-1.1378450662816118
O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Br)c4F)c3c2)nn1)NO,8.91495312505751,0.0456439485501193,0.1698118700828601,514.3590000000002,4.599300000000003,117.85,3,7,0.5,8.454215111548821,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,9.52034512371626,0.0212573920710242,0.1876052314453322,9.592890347367902,-0.6053919986587495,-0.017793361362472088,-1.1386752358190808
OCCCc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.24191561758727,0.0142807119475328,0.7301863249817082,359.22700000000003,3.4558000000000018,70.93,2,5,0.0,8.592728068130592,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.45207561134018,0.0208187913123357,0.6490621421214131,9.755787891088552,-1.2101599937529084,0.0811241828602951,-1.16305982295796
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1F,8.203899018148856,0.0509258326523205,0.4700090628064358,443.8850000000001,4.311900000000003,61.36000000000001,1,5,0.0,8.387977716899755,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.0447588835957084,0.6214205553234822,9.58041020053087,-1.1105597883159817,-0.1514114925170464,-1.1924324836311158
C/C=C/C(=O)Cc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,7.975822637058717,0.0454585008323324,0.7089430774282438,338.79800000000006,4.109500000000002,67.77000000000001,1,5,0.0,8.284835674940506,C/C=C/C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.155818320515056,0.0110277555703004,0.6685952655904649,9.479088197739989,-1.1799956834563394,0.04034781183777891,-1.1942525227994825
OCCCc1c(Br)cccc1Nc1ncnc2ccncc12,8.088433651542122,0.0393909675739134,0.7301863249817082,359.2270000000001,3.455800000000001,70.93,2,5,0.0,8.414135846459063,OCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.3692884724959,0.0321953526069766,0.6490621421214131,9.661624190949633,-1.2808548209537776,0.0811241828602951,-1.24748834449057
C=CC(=O)C(C)c1cc2c(Nc3cccc(Cl)c3)ncnc2cn1,8.040837317134038,0.0560308932629192,0.7030953244795115,338.79800000000006,4.280400000000002,67.77000000000001,1,5,0.0,8.336354086110875,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.331955814487577,0.0384331354226647,0.6622425832625197,9.62464397069617,-1.2911184973535388,0.040852741216991784,-1.2882898845852946
