smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,year_min,year_max,n_sources
CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,2.6,8.585026652029182,1,1997,1997,1
Nc1cccc2c1sc1c(Nc3cccc(Br)c3)ncnc12,2.7,8.568636235841012,1,1999,1999,1
CCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,2.7,8.568636235841012,1,2001,2001,1
C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,2.7,8.568636235841012,1,2001,2001,1
Cc1cccc(Nc2ncnc3cnc(N(C)C)cc23)c1,2.8,8.55284196865778,1,1998,1998,1
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2.8,8.55284196865778,1,2002,2002,1
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,2.9,8.537602002101044,1,1997,1997,1
Cc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)nc23)c1,3.0,8.522878745280337,1,1997,1997,1
CN(C)CC=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,3.0,8.522878745280337,3,2001,2008,1
COc1ccccc1Cc1nc2ccc(-c3nn([C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)c4ncnc(N)c34)cc2[nH]1,3.0,8.522878745280337,1,2009,2009,1
CNC1=NC=C2C(=Nc3cccc(Br)c3)N(C)C=NC2C1,3.1,8.508638306165727,1,1996,1996,1
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,3.1,8.508638306165727,1,1996,1996,1
CNc1cc2ncn(C)/c(=N\c3cccc(Br)c3)c2cn1,3.1,8.508638306165727,1,1996,1996,1
Cc1cccc(Nc2ncnc3cnc(N)cc23)c1,3.1,8.508638306165727,1,1998,1998,1
CN(CC(O)C(O)C(O)C(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,3.2,8.494850021680094,1,1997,1997,1
CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,3.2,8.494850021680094,1,1997,1997,1
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,3.2,8.494850021680094,1,1997,1997,1
Nc1ccc2c(Nc3cccc(C(F)(F)F)c3)ncnc2c1,3.3,8.481486060122112,1,1996,1996,1
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,3.3,8.481486060122112,1,2001,2001,1
COC(=O)CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,3.4,8.468521082957745,1,1997,1997,1
Cc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,3.5,8.455931955649724,1,1997,1997,1
OCCN(CCO)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,3.5,8.455931955649724,1,1997,1997,1
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,3.7,8.431798275933005,1,1997,1997,1
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,3.7,8.431798275933005,1,1997,1997,1
COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,3.8,8.42021640338319,1,1997,1997,1
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,3.8,8.42021640338319,1,1996,1996,1
CN1CCN(CCCNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)CC1,3.9,8.4089353929735,1,1998,1998,1
Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,4.0,8.397940008672037,1,1997,1997,1
CNc1ccc2cncnc2c1,4.0,8.397940008672037,1,1996,1996,1
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,4.0,8.397940008672037,1,1996,1996,1
Brc1cccc(Nc2ncnc3cc4nn[nH]c4cc23)c1,4.1,8.387216143280265,1,1996,1996,1
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.2,8.3767507096021,1,2001,2001,1
COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,4.3,8.366531544420413,1,1996,1996,1
CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,4.3,8.366531544420413,1,1997,1997,1
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,8.346787486224656,1,2002,2002,1
C=CS(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.6,8.337242168318426,1,2001,2001,1
CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.6,8.337242168318426,1,1998,1998,1
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,8.327902142064282,1,2002,2002,1
Oc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,4.7,8.327902142064282,1,1996,1996,1
