smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,year_min,year_max
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1,0.26,9.585026652029182,4,6.815308569182401,9.638272163982407
CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1,0.26,9.585026652029182,6,8.290730039024169,9.67366413907125
CCN1CCC(=Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.26,9.585026652029182,3,8.886056647693163,9.744727494896694
CC(C)n1c2cc(Nc3ccnc(-c4cnn(S(=O)(=O)C5CC5)c4)n3)ncc2c2c(OCC(F)(F)F)cc(N3CCN(C)CC3)cc21,0.265,9.577450979992872,4,9.55284196865778,9.602059991327963
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,0.27,9.568636235841012,1,9.568636235841012,9.568636235841012
O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,0.27,9.568636235841012,1,9.568636235841012,9.568636235841012
O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.27,9.568636235841012,1,9.568636235841012,9.568636235841012
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccc(F)cc2)c(-c2cn(C)c3ccccc23)n1,0.28,9.55284196865778,3,8.207608310501746,9.823908740944319
O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.28,9.55284196865778,1,9.55284196865778,9.55284196865778
CCN(C)C1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1,0.28,9.55284196865778,1,9.55284196865778,9.55284196865778
O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,0.28090000000000004,9.551450489942221,2,9.550059011226661,9.55284196865778
COc1cc(N2CCC(N(C)C)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.281,9.55129368009492,3,7.958607314841775,9.67778070526608
O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,0.2818,9.550059011226661,1,9.550059011226661,9.550059011226661
CCc1cc(Nc2ncc(Br)c(Nc3ccc4ncnn4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1,0.47,9.537860356969059,2,9.075720713938118,10.0
CCc1cc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1,0.29,9.537602002101044,3,6.166024628720094,10.0
Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1,0.29,9.537602002101044,1,9.537602002101044,9.537602002101044
CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,0.29,9.537602002101044,1,9.537602002101044,9.537602002101044
COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1CC(F)F)C(=O)NCC2,0.3005,9.526337064931306,2,9.465973893943865,9.586700235918748
COc1cc(N2CCC(NC(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
CN1CCN(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)cc2)CC1,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
CN(C)[C@H]1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)C1,0.3,9.522878745280337,3,8.795880017344075,9.522878745280337
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OCC4CC4)cc3)nn21,0.3,9.522878745280337,1,9.522878745280337,9.522878745280337
