activity_id,assay_chembl_id,assay_type,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
338678,CHEMBL691873,F,CHEMBL1135889,CHEMBL25425,6.70,=,=,IC50,nM,200.0,IC50,uM,0.2
339747,CHEMBL679946,B,CHEMBL1127568,CHEMBL67436,,>,>,IC50,nM,20000.0,IC50,uM,20.0
340143,CHEMBL676067,B,CHEMBL1136802,CHEMBL55204,5.29,=,=,IC50,nM,5128.61,pIC50,,5.29
340148,CHEMBL677388,B,CHEMBL1135889,CHEMBL286160,7.00,=,=,IC50,nM,100.0,IC50,uM,0.1
340150,CHEMBL691873,F,CHEMBL1135889,CHEMBL286160,7.00,=,=,IC50,nM,100.0,IC50,uM,0.1
340163,CHEMBL677388,B,CHEMBL1135889,CHEMBL2448066,7.00,=,=,IC50,nM,100.0,IC50,uM,0.1
340165,CHEMBL691873,F,CHEMBL1135889,CHEMBL2448066,7.16,=,=,IC50,nM,70.0,IC50,uM,0.07
340430,CHEMBL677206,B,CHEMBL1129933,CHEMBL336409,5.89,=,=,IC50,nM,1300.0,IC50,uM,1.3
341113,CHEMBL679946,B,CHEMBL1127568,CHEMBL302545,,>,>,IC50,nM,20000.0,IC50,uM,20.0
341376,CHEMBL676067,B,CHEMBL1136802,CHEMBL57251,4.60,=,=,IC50,nM,25118.86,pIC50,,4.6
341378,CHEMBL676067,B,CHEMBL1136802,CHEMBL56543,6.30,=,=,IC50,nM,501.19,pIC50,,6.3
342252,CHEMBL679946,B,CHEMBL1127568,CHEMBL309116,,>,>,IC50,nM,20000.0,IC50,uM,20.0
342254,CHEMBL679946,B,CHEMBL1127568,CHEMBL63575,,>,>,IC50,nM,20000.0,IC50,uM,20.0
342459,CHEMBL676067,B,CHEMBL1136802,CHEMBL56132,4.85,=,=,IC50,nM,14125.38,pIC50,,4.85
342461,CHEMBL676067,B,CHEMBL1136802,CHEMBL120564,4.06,=,=,IC50,nM,87096.36,pIC50,,4.06
342469,CHEMBL677388,B,CHEMBL1135889,CHEMBL1202478,7.00,=,=,IC50,nM,100.0,IC50,uM,0.1
342471,CHEMBL691873,F,CHEMBL1135889,CHEMBL1202478,7.05,=,=,IC50,nM,90.0,IC50,uM,0.09
343342,CHEMBL679946,B,CHEMBL1127568,CHEMBL66718,,>,>,IC50,nM,20000.0,IC50,uM,20.0
343638,CHEMBL676067,B,CHEMBL1136802,CHEMBL432428,6.19,=,=,IC50,nM,645.65,pIC50,,6.19
343640,CHEMBL676067,B,CHEMBL1136802,CHEMBL141175,4.80,=,=,IC50,nM,15848.93,pIC50,,4.8
344684,CHEMBL679946,B,CHEMBL1127568,CHEMBL69585,,>,>,IC50,nM,20000.0,IC50,uM,20.0
345343,CHEMBL677206,B,CHEMBL1129933,CHEMBL336410,5.16,=,=,IC50,nM,7000.0,IC50,uM,7.0
346047,CHEMBL674029,F,CHEMBL1127050,CHEMBL419280,,>,>,IC50,nM,100000.0,IC50,uM,100.0
346388,CHEMBL680028,B,CHEMBL1145020,CHEMBL113996,4.87,=,=,IC50,nM,13570.0,IC50,uM,13.57
347377,CHEMBL674029,F,CHEMBL1127050,CHEMBL80001,,>,>,IC50,nM,100000.0,IC50,uM,100.0
347654,CHEMBL680028,B,CHEMBL1145020,CHEMBL607707,7.10,=,=,IC50,nM,80.0,IC50,uM,0.08
347659,CHEMBL680028,B,CHEMBL1145020,CHEMBL325156,5.32,=,=,IC50,nM,4840.0,IC50,uM,4.84
348082,CHEMBL677387,B,CHEMBL1130246,CHEMBL126384,8.27,=,=,IC50,nM,5.4,IC50,nM,5.4
348083,CHEMBL677387,B,CHEMBL1130246,CHEMBL129509,8.03,=,=,IC50,nM,9.3,IC50,nM,9.3
348688,CHEMBL674029,F,CHEMBL1127050,CHEMBL83390,,>,>,IC50,nM,100000.0,IC50,uM,100.0
348689,CHEMBL674029,F,CHEMBL1127050,CHEMBL84512,,>,>,IC50,nM,100000.0,IC50,uM,100.0
350016,CHEMBL674029,F,CHEMBL1127050,CHEMBL314029,,>,>,IC50,nM,100000.0,IC50,uM,100.0
350018,CHEMBL674029,F,CHEMBL1127050,CHEMBL420400,,>,>,IC50,nM,100000.0,IC50,uM,100.0
351746,CHEMBL680028,B,CHEMBL1145020,CHEMBL114593,6.02,=,=,IC50,nM,960.0,IC50,uM,0.96
352154,CHEMBL677387,B,CHEMBL1130246,CHEMBL126137,7.40,=,=,IC50,nM,40.0,IC50,nM,40.0
352155,CHEMBL677387,B,CHEMBL1130246,CHEMBL128987,8.49,=,=,IC50,nM,3.2,IC50,nM,3.2
352156,CHEMBL673451,B,CHEMBL1130246,CHEMBL128987,7.44,=,=,IC50,nM,36.0,IC50,nM,36.0
352157,CHEMBL677387,B,CHEMBL1130246,CHEMBL435993,8.04,=,=,IC50,nM,9.2,IC50,nM,9.2
352158,CHEMBL677386,B,CHEMBL1130246,CHEMBL340898,8.46,=,=,IC50,nM,3.5,IC50,nM,3.5
352160,CHEMBL677387,B,CHEMBL1130246,CHEMBL338215,8.27,=,=,IC50,nM,5.4,IC50,nM,5.4
352831,CHEMBL674029,F,CHEMBL1127050,CHEMBL309765,5.17,=,=,IC50,nM,6700.0,IC50,uM,6.7
352832,CHEMBL674029,F,CHEMBL1127050,CHEMBL309716,,>,>,IC50,nM,100000.0,IC50,uM,100.0
352834,CHEMBL674029,F,CHEMBL1127050,CHEMBL311811,,>,>,IC50,nM,100000.0,IC50,uM,100.0
353187,CHEMBL680028,B,CHEMBL1145020,CHEMBL116857,5.54,=,=,IC50,nM,2880.0,IC50,uM,2.88
353631,CHEMBL677387,B,CHEMBL1130246,CHEMBL340484,8.31,=,=,IC50,nM,4.9,IC50,nM,4.9
353632,CHEMBL677387,B,CHEMBL1130246,CHEMBL127058,8.92,=,=,IC50,nM,1.2,IC50,nM,1.2
353633,CHEMBL677387,B,CHEMBL1130246,CHEMBL128467,8.85,=,=,IC50,nM,1.4,IC50,nM,1.4
353634,CHEMBL673451,B,CHEMBL1130246,CHEMBL128467,,>,>,IC50,nM,1000.0,IC50,nM,1000.0
354789,CHEMBL680028,B,CHEMBL1145020,CHEMBL326280,6.10,=,=,IC50,nM,790.0,IC50,uM,0.79
354794,CHEMBL680028,B,CHEMBL1145020,CHEMBL117326,6.25,=,=,IC50,nM,560.0,IC50,uM,0.56
355097,CHEMBL677387,B,CHEMBL1130246,CHEMBL340700,8.49,=,=,IC50,nM,3.2,IC50,nM,3.2
355098,CHEMBL677386,B,CHEMBL1130246,CHEMBL338114,9.04,=,=,IC50,nM,0.91,IC50,nM,0.91
355813,CHEMBL674029,F,CHEMBL1127050,CHEMBL312402,,>,>,IC50,nM,100000.0,IC50,uM,100.0
356555,CHEMBL677387,B,CHEMBL1130246,CHEMBL341319,8.59,=,=,IC50,nM,2.6,IC50,nM,2.6
356556,CHEMBL677387,B,CHEMBL1130246,CHEMBL340508,8.15,=,=,IC50,nM,7.1,IC50,nM,7.1
357623,CHEMBL680028,B,CHEMBL1145020,CHEMBL115440,6.03,=,=,IC50,nM,930.0,IC50,uM,0.93
357628,CHEMBL680028,B,CHEMBL1145020,CHEMBL29197,7.16,=,=,IC50,nM,70.0,IC50,uM,0.07
358710,CHEMBL674029,F,CHEMBL1127050,CHEMBL84513,5.17,=,=,IC50,nM,6700.0,IC50,uM,6.7
358711,CHEMBL674029,F,CHEMBL1127050,CHEMBL83559,5.08,=,=,IC50,nM,8400.0,IC50,uM,8.4
